RatID,Diet,Drug,Sex,BrainRegion,Measure,Value
05,CON,VEH,F,DGML,num,34
06,CON,VEH,F,DGML,num,7.5
27,CON,VEH,F,DGML,num,40
29,CON,VEH,F,DGML,num,19.5
30,CON,VEH,F,DGML,num,44.5
55,CON,VEH,F,DGML,num,31.6
56,CON,VEH,F,DGML,num,38
79,CON,VEH,F,DGML,num,26.8
80,CON,VEH,F,DGML,num,42
14,CON,VEH,M,DGML,num,43
37,CON,VEH,M,DGML,num,14
38,CON,VEH,M,DGML,num,19.25
45,CON,VEH,M,DGML,num,17.666666666666668
46,CON,VEH,M,DGML,num,33.8
49,CON,VEH,M,DGML,num,30.5
57,CON,VEH,M,DGML,num,45
58,CON,VEH,M,DGML,num,36.333333333333336
21,CON,PLX,F,DGML,num,1
39,CON,PLX,F,DGML,num,2
41,CON,PLX,F,DGML,num,2
42,CON,PLX,F,DGML,num,1.6666666666666667
53,CON,PLX,F,DGML,num,2
54,CON,PLX,F,DGML,num,1.5
77,CON,PLX,F,DGML,num,1
19,CON,PLX,M,DGML,num,5.333333333333333
20,CON,PLX,M,DGML,num,3.3333333333333335
32,CON,PLX,M,DGML,num,3
74,CON,PLX,M,DGML,num,2.5
01,EtOH,VEH,F,DGML,num,23.666666666666668
02,EtOH,VEH,F,DGML,num,40.75
16,EtOH,VEH,F,DGML,num,45
47,EtOH,VEH,F,DGML,num,22
48,EtOH,VEH,F,DGML,num,11.333333333333334
59,EtOH,VEH,F,DGML,num,31
75,EtOH,VEH,F,DGML,num,28.333333333333332
76,EtOH,VEH,F,DGML,num,24.8
03,EtOH,VEH,M,DGML,num,39.25
04,EtOH,VEH,M,DGML,num,27
25,EtOH,VEH,M,DGML,num,16.8
26,EtOH,VEH,M,DGML,num,18.5
43,EtOH,VEH,M,DGML,num,13
69,EtOH,VEH,M,DGML,num,32.75
70,EtOH,VEH,M,DGML,num,30
18,EtOH,PLX,F,DGML,num,3.5
33,EtOH,PLX,F,DGML,num,1.25
34,EtOH,PLX,F,DGML,num,1.5
63,EtOH,PLX,F,DGML,num,2.8
71,EtOH,PLX,F,DGML,num,2
72,EtOH,PLX,F,DGML,num,2.5
07,EtOH,PLX,M,DGML,num,2.8
11,EtOH,PLX,M,DGML,num,4
66,EtOH,PLX,M,DGML,num,1.6666666666666667
81,EtOH,PLX,M,DGML,num,3.3333333333333335
05,CON,VEH,F,Rhinal,num,44
06,CON,VEH,F,Rhinal,num,12
27,CON,VEH,F,Rhinal,num,57.111111111111114
29,CON,VEH,F,Rhinal,num,12.5
30,CON,VEH,F,Rhinal,num,46.333333333333336
55,CON,VEH,F,Rhinal,num,30.5
56,CON,VEH,F,Rhinal,num,45
79,CON,VEH,F,Rhinal,num,56
80,CON,VEH,F,Rhinal,num,52.333333333333336
14,CON,VEH,M,Rhinal,num,55.2
37,CON,VEH,M,Rhinal,num,24.2
38,CON,VEH,M,Rhinal,num,33.857142857142854
45,CON,VEH,M,Rhinal,num,42.22222222222222
46,CON,VEH,M,Rhinal,num,33.25
49,CON,VEH,M,Rhinal,num,45.5
58,CON,VEH,M,Rhinal,num,47.666666666666664
21,CON,PLX,F,Rhinal,num,1
39,CON,PLX,F,Rhinal,num,1
41,CON,PLX,F,Rhinal,num,1.5
42,CON,PLX,F,Rhinal,num,3
53,CON,PLX,F,Rhinal,num,1.5
19,CON,PLX,M,Rhinal,num,5
20,CON,PLX,M,Rhinal,num,1
32,CON,PLX,M,Rhinal,num,3.625
74,CON,PLX,M,Rhinal,num,1
01,EtOH,VEH,F,Rhinal,num,24.5
02,EtOH,VEH,F,Rhinal,num,37.5
16,EtOH,VEH,F,Rhinal,num,55
47,EtOH,VEH,F,Rhinal,num,20
48,EtOH,VEH,F,Rhinal,num,21.333333333333332
59,EtOH,VEH,F,Rhinal,num,42
75,EtOH,VEH,F,Rhinal,num,32.333333333333336
76,EtOH,VEH,F,Rhinal,num,36
03,EtOH,VEH,M,Rhinal,num,47
04,EtOH,VEH,M,Rhinal,num,28.333333333333332
25,EtOH,VEH,M,Rhinal,num,27
26,EtOH,VEH,M,Rhinal,num,20
69,EtOH,VEH,M,Rhinal,num,44.5
70,EtOH,VEH,M,Rhinal,num,47
33,EtOH,PLX,F,Rhinal,num,1.3333333333333333
63,EtOH,PLX,F,Rhinal,num,1
72,EtOH,PLX,F,Rhinal,num,2
11,EtOH,PLX,M,Rhinal,num,2
35,EtOH,PLX,M,Rhinal,num,1
81,EtOH,PLX,M,Rhinal,num,3.3333333333333335
59,EtOH,VEH,F,dHippo,num,24
