BrainRegion,Diet,Sex,PLX,VEH,percent_loss
DGML,CON,F,1.5952380952380953,31.544444444444444,94.94288733457455
DGML,CON,M,3.5416666666666665,29.94375,88.17226744590552
DGML,EtOH,F,2.2583333333333333,28.360416666666666,92.0370234334827
DGML,EtOH,M,2.95,25.32857142857143,88.35307388606881
Rhinal,CON,F,1.6,39.53086419753087,95.9525296689569
Rhinal,CON,M,2.65625,40.270861678004536,93.40403982105302
Rhinal,EtOH,F,1.4444444444444444,33.583333333333336,95.6989247311828
Rhinal,EtOH,M,2.111111111111111,35.638888888888886,94.07638347622759
dHippo,EtOH,F,NA,24,NA
