contrast,day,estimate,SE,df,t.ratio,p.value,p.adj,p<.05
CON PLX - EtOH PLX,day_01,-6.155555555555557,6.902112282329194,34,-0.891836484798288,0.3787490520155786,1,ns
CON PLX - CON VEH,day_01,-3.4999999999999996,6.718022779461196,34,-0.5209866228349868,0.6057529561095598,1,ns
EtOH PLX - EtOH VEH,day_01,4.444444444444407,7.081417785330809,34,0.627620708052432,0.5344452730801577,1,ns
CON VEH - EtOH VEH,day_01,1.7888888888888501,6.902112282329194,34,0.2591799170623127,0.7970592622468843,1,ns
CON PLX - EtOH PLX,day_02,-6.333333333333333,7.493903598269723,34,-0.8451314125251951,0.4039456952570841,1,ns
CON PLX - CON VEH,day_02,-8.800000000000002,7.294030149169497,34,-1.2064660852823559,0.2359657266949757,1,ns
EtOH PLX - EtOH VEH,day_02,-1.5555555555556189,7.6885828644377785,34,-0.2023201912475411,0.8408722033208375,1,ns
CON VEH - EtOH VEH,day_02,0.911111111111051,7.493903598269723,34,0.12158030846852882,0.9039471464625999,1,ns
CON PLX - EtOH PLX,day_03,-6.277777777777775,7.304272732123528,34,-0.8594665078932059,0.3961027506229562,1,ns
CON PLX - CON VEH,day_03,-16.300000000000004,7.109457017590539,34,-2.2927208026815284,0.028175475135160607,1,ns
EtOH PLX - EtOH VEH,day_03,-5.111111111111135,7.494025700884626,34,-0.6820247641408272,0.49984346972849225,1,ns
CON VEH - EtOH VEH,day_03,4.911111111111095,7.304272732123528,34,0.6723614097146832,0.5058975595837554,1,ns
CON PLX - EtOH PLX,day_04,7.399999999999996,8.101010588131562,34,0.9134662792369898,0.36742985500171044,1,ns
CON PLX - CON VEH,day_04,-10.50000000000001,7.884944701212339,34,-1.331651697999302,0.19183393564399742,1,ns
EtOH PLX - EtOH VEH,day_04,-16.666666666666718,8.311461493435607,34,-2.005263055099281,0.05294752666859793,1,ns
CON VEH - EtOH VEH,day_04,1.2333333333332908,8.101010588131562,34,0.15224437987282646,0.8798940572528549,1,ns
CON PLX - EtOH PLX,day_05,-3.722222222222223,8.51719479153324,34,-0.4370244327301759,0.6648568524250202,1,ns
CON PLX - CON VEH,day_05,-11.600000000000003,8.290028658780306,34,-1.3992713991059575,0.1707891026427104,1,ns
EtOH PLX - EtOH VEH,day_05,-7.222222222222291,8.738457476605532,34,-0.8264870821374958,0.41429042734690247,1,ns
CON VEH - EtOH VEH,day_05,0.6555555555554891,8.51719479153324,34,0.07696848218232166,0.9390997762149118,1,ns
CON PLX - EtOH PLX,day_06,-5.544444444444448,8.60023770592433,34,-0.6446850231389675,0.5234576159085449,1,ns
CON PLX - CON VEH,day_06,3.2000000000000037,8.370856696304484,34,0.38227867422610645,0.7046338739486887,1,ns
EtOH PLX - EtOH VEH,day_06,12.5555555555554,8.823657709064852,34,1.4229422728690666,0.1638642208001448,1,ns
CON VEH - EtOH VEH,day_06,3.8111111111109506,8.60023770592433,34,0.4431402062858846,0.6604712576358085,1,ns
CON PLX - EtOH PLX,day_07,0.5666666666666598,9.538437128864086,34,0.059408754181739104,0.9529743598216363,1,ns
CON PLX - CON VEH,day_07,23.500000000000007,9.284032958464575,34,2.531227550045936,0.01615887861388278,0.7109906590108424,ns
EtOH PLX - EtOH VEH,day_07,29.555555555555486,9.786230006939824,34,3.020116585712415,0.004770158732693209,0.2098869842385012,ns
CON VEH - EtOH VEH,day_07,6.622222222222138,9.538437128864086,34,0.6942670096532645,0.4922317293173206,1,ns
CON PLX - EtOH PLX,day_08,4.011111111111098,9.72497589387906,34,0.4124546070737006,0.6825955007466413,1,ns
CON PLX - CON VEH,day_08,46.800000000000026,9.465596459804813,34,4.944220916107496,2.0286622625085863e-5,8.926113955037779e-4,***
EtOH PLX - EtOH VEH,day_08,43.99999999999997,9.977614741669887,34,4.409871611522654,9.860539250803914e-5,0.004338637270353722,**
CON VEH - EtOH VEH,day_08,1.2111111111110493,9.72497589387906,34,0.12453615559842443,0.901624170611069,1,ns
CON PLX - EtOH PLX,day_09,10.46666666666665,8.436957465276143,34,1.240573596553515,0.2232560110861238,1,ns
CON PLX - CON VEH,day_09,56,8.211931380221351,34,6.819345828300203,7.586317895153423e-8,3.337979873867506e-6,****
EtOH PLX - EtOH VEH,day_09,49.2222222222222,8.656135716836555,34,5.686396774773629,2.201066937971356e-6,9.684694527073967e-5,****
CON VEH - EtOH VEH,day_09,3.6888888888888522,8.436957465276143,34,0.43722976014412257,0.6647094173525755,1,ns
CON PLX - EtOH PLX,day_10,21.43333333333333,9.564487010012918,34,2.24092868868922,0.031670797776013004,1,ns
CON PLX - CON VEH,day_10,56.800000000000026,9.30938805090608,34,6.1013677472035015,6.363409357343824e-7,2.7999001172312827e-5,****
EtOH PLX - EtOH VEH,day_10,35.666666666666714,9.812956621072917,34,3.63465039579142,9.099372918212643e-4,0.04003724084013563,*
CON VEH - EtOH VEH,day_10,0.3000000000000238,9.564487010012918,34,0.031366031412448814,0.975161037491098,1,ns
CON PLX - EtOH PLX,day_11,28.644444444444435,8.879558011074689,34,3.225886289466069,0.0027759233086108817,0.1221406255788788,ns
CON PLX - CON VEH,day_11,67.80000000000001,8.6427271174175,34,7.844746117618841,3.9270879065070685e-9,1.7279186788631103e-7,****
EtOH PLX - EtOH VEH,day_11,42.99999999999998,9.11023429544694,34,4.719966425176383,3.951443422389646e-5,0.0017386351058514442,**
CON VEH - EtOH VEH,day_11,3.8444444444443953,8.879558011074689,34,0.4329544826048277,0.6677820629276217,1,ns
